,region,type,AveragePrice,Total Volume
0,Albany,conventional,1.3487573964497044,15700611.469999999
1,Albany,organic,1.773313609467456,367188.5000000001
2,Atlanta,conventional,1.0688165680473378,86661391.50000001
3,Atlanta,organic,1.6071005917159764,1943727.35
4,BaltimoreWashington,conventional,1.344201183431952,130745575.4299999
5,BaltimoreWashington,organic,1.7242603550295867,3968343.8900000006
6,Boise,conventional,1.0760355029585797,14000540.499999996
7,Boise,organic,1.6202366863905329,412647.2500000001
8,Boston,conventional,1.3043786982248522,94900438.14000002
9,Boston,organic,1.757396449704143,2373546.69
10,BuffaloRochester,conventional,1.3823076923076927,22039224.63
11,BuffaloRochester,organic,1.651360946745562,923245.7699999998
12,California,conventional,1.1054437869822487,1003596841.0600001
13,California,organic,1.685207100591715,25384812.109999985
14,Charlotte,conventional,1.2750887573964507,34362873.76
15,Charlotte,organic,1.9369822485207098,1192670.6599999992
16,Chicago,conventional,1.369349112426035,128408944.75999998
17,Chicago,organic,1.7442011834319535,5293393.750000002
18,CincinnatiDayton,conventional,1.0155029585798816,41884098.13000001
19,CincinnatiDayton,organic,1.4028994082840232,2637909.4399999995
20,Columbus,conventional,1.0662721893491123,28606217.739999983
21,Columbus,organic,1.4392899408284017,1387143.6800000002
22,DallasFtWorth,conventional,0.8464497041420116,204909931.02000004
23,DallasFtWorth,organic,1.3247337278106508,3509355.5300000003
24,Denver,conventional,1.0739644970414197,132820397.32000001
25,Denver,organic,1.3631952662721893,6082138.669999999
26,Detroit,conventional,1.1239644970414198,60747049.64
27,Detroit,organic,1.4282248520710052,2675369.74
28,GrandRapids,conventional,1.3250295857988164,29637991.799999993
29,GrandRapids,organic,1.6849704142011834,573744.13
30,GreatLakes,conventional,1.1818934911242605,567567861.9999998
31,GreatLakes,organic,1.495207100591716,22074687.29
32,HarrisburgScranton,conventional,1.2588165680473373,40310037.64000001
33,HarrisburgScranton,organic,1.7677514792899411,1498821.04
34,HartfordSpringfield,conventional,1.4080473372781062,49061224.079999976
35,HartfordSpringfield,organic,2.2292307692307705,1609313.3800000001
36,Houston,conventional,0.8250887573964498,199202929.8400001
37,Houston,organic,1.2707692307692302,3964937.960000002
38,Indianapolis,conventional,1.1448520710059173,29452522.429999992
39,Indianapolis,organic,1.4831360946745558,810868.9999999999
40,Jacksonville,conventional,1.193609467455622,28266033.55
41,Jacksonville,organic,1.8282840236686388,523971.1900000002
42,LasVegas,conventional,1.0129585798816572,52763255.36
43,LasVegas,organic,1.7488757396449703,1613651.0399999998
44,LosAngeles,conventional,0.9764497041420119,494510272.4800004
45,LosAngeles,organic,1.455562130177516,13386275.15000001
46,Louisville,conventional,1.1053254437869826,15604825.219999999
47,Louisville,organic,1.4680473372781067,492177.1799999998
48,MiamiFtLauderdale,conventional,1.2543195266272185,97010898.75999999
49,MiamiFtLauderdale,organic,1.602662721893491,662325.2700000001
50,Midsouth,conventional,1.2071597633136095,490368916.3200001
51,Midsouth,organic,1.6023668639053266,17980440.879999995
52,Nashville,conventional,1.0128994082840241,34243392.489999995
53,Nashville,organic,1.4113017751479286,1368696.74
54,NewOrleansMobile,conventional,1.0852662721893493,45067491.34
55,NewOrleansMobile,organic,1.5243195266272187,627645.2399999996
56,NewYork,conventional,1.4021301775147934,231743556.13000003
57,NewYork,organic,2.053017751479292,8990571.399999999
58,Northeast,conventional,1.344437869822486,689054813.4700003
59,Northeast,organic,1.859408284023668,24226096.089999996
60,NorthernNewEngland,conventional,1.2602366863905323,69340863.98
61,NorthernNewEngland,organic,1.6945562130177507,2192030.1299999994
62,Orlando,conventional,1.2144378698224854,57776051.65999999
63,Orlando,organic,1.7979881656804728,884652.2299999999
64,Philadelphia,conventional,1.3963313609467447,69479694.80000001
65,Philadelphia,organic,1.867928994082841,2359103.3800000004
66,PhoenixTucson,conventional,0.7282248520710065,193599800.94999993
67,PhoenixTucson,organic,1.7206508875739646,2043511.550000001
68,Pittsburgh,conventional,1.250650887573965,17831904.92000001
69,Pittsburgh,organic,1.477988165680473,974440.8899999999
70,Plains,conventional,1.1655029585798824,302912655.84999996
71,Plains,organic,1.7075147928994086,8275873.259999993
72,Portland,conventional,1.0465088757396448,105041197.7000001
73,Portland,organic,1.5889349112426034,5511013.900000003
74,RaleighGreensboro,conventional,1.2271005917159756,46618375.10000002
75,RaleighGreensboro,organic,1.8831360946745554,1584356.56
76,RichmondNorfolk,conventional,1.1198224852071001,40685043.76
77,RichmondNorfolk,organic,1.4628402366863902,1545807.6900000013
78,Roanoke,conventional,1.0960355029585795,23652751.250000004
79,Roanoke,organic,1.3998224852071006,1389259.5599999996
80,Sacramento,conventional,1.2739644970414208,73812663.71999995
81,Sacramento,organic,1.9691715976331357,1351083.1400000001
82,SanDiego,conventional,1.0614792899408287,87396061.38999999
83,SanDiego,organic,1.7348520710059172,2395858.3000000007
84,SanFrancisco,conventional,1.3971597633136092,132044256.08999993
85,SanFrancisco,organic,2.2112426035502954,3785935.6899999985
86,Seattle,conventional,1.1697633136094678,101850663.16999999
87,Seattle,organic,1.7153846153846166,7363514.789999998
88,SouthCarolina,conventional,1.1462130177514798,59248479.91000002
89,SouthCarolina,organic,1.6603550295857996,1505292.9900000007
90,SouthCentral,conventional,0.8694082840236682,993161154.5600003
91,SouthCentral,organic,1.3330769230769224,18118464.270000007
92,Southeast,conventional,1.1630177514792892,605198753.2100005
93,Southeast,organic,1.63301775147929,10039655.900000002
94,Spokane,conventional,1.1159763313609465,14976829.49
95,Spokane,organic,1.775207100591715,588445.9899999998
96,StLouis,conventional,1.1857396449704154,30994375.59999998
97,StLouis,organic,1.6755029585798815,1078457.7300000007
98,Syracuse,conventional,1.3869230769230774,10491992.64
99,Syracuse,organic,1.6537278106508877,450675.04000000015
100,Tampa,conventional,1.201597633136094,65288272.259999976
101,Tampa,organic,1.6160946745562135,716267.05
104,West,conventional,0.9850887573964502,1049360589.5399997
105,West,organic,1.559349112426036,37418566.21000002
106,WestTexNewMexico,conventional,0.8421301775147929,141986735.39000002
107,WestTexNewMexico,organic,1.6888554216867468,2535104.390000001
