time,raw_data
0.887,60.098
2.2182,59.715
3.6518,60.329
5.239,60.378
6.8262,60.0
8.4646,59.795
10.0518,59.754
11.639,58.876
13.2262,59.977
14.8646,59.439
16.4518,58.537
18.039,60.597
19.6774,59.888
21.2646,60.179
22.8518,61.53
24.439,64.612
26.0262,65.92
27.6646,67.304
29.2518,70.51
30.8902,73.006
32.4774,77.751
34.0646,82.794
35.6518,85.801
37.239,90.869
38.8262,94.617
40.4646,97.483
42.0518,99.567
43.639,103.721
45.2774,105.188
46.8646,108.096
48.4518,108.555
50.039,108.974
51.6774,110.337
53.2646,110.341
54.8518,111.244
56.439,112.633
58.0774,112.235
59.6646,112.317
61.2518,112.444
62.839,114.654
64.4774,112.799
66.0646,113.885
67.6518,112.795
69.239,113.019
70.8774,113.57
72.4646,111.476
74.0518,113.494
75.639,112.505
77.2774,112.529
78.8646,111.214
80.4518,112.317
82.0902,111.701
83.6774,110.586
85.2646,110.567
86.903,110.228
88.4902,110.219
90.0774,109.538
91.6646,109.116
93.2518,108.887
94.8902,107.837
96.4774,109.916
98.0646,107.507
99.6518,107.227
101.2902,106.206
102.8774,106.54
104.4646,106.776
106.0518,106.243
107.6902,105.98
109.2774,103.901
110.8646,105.217
112.4518,104.839
114.0902,104.152
115.6774,102.346
117.2646,102.474
118.903,103.712
120.4902,104.259
