time,raw_data
1.2002,35.917
2.5314,35.961
3.965,35.462
5.5522,35.964
7.1394,36.075
8.7266,35.762
10.365,35.583
11.9522,35.483
13.5394,35.502
15.1778,36.413
16.765,36.593
18.3522,35.588
19.9394,36.508
21.5778,35.373
23.165,36.214
24.7522,38.227
26.3394,38.943
27.9266,39.624
29.565,39.878
31.1522,40.631
32.7394,41.512
34.3778,40.833
35.965,41.419
37.5522,42.138
39.1394,41.067
40.7266,41.283
42.365,40.884
43.9522,40.265
45.5394,40.917
47.1778,40.077
48.765,41.01
50.3522,40.407
51.9394,41.15
53.5778,40.119
55.165,40.753
56.7522,40.402
58.3394,40.453
59.9778,41.128
61.565,40.286
63.1522,40.554
64.7394,40.074
66.3778,40.031
67.965,40.825
69.5522,40.062
71.1394,38.959
72.7266,39.889
74.365,40.116
75.9522,40.219
77.5394,39.105
79.1778,40.221
80.765,39.615
82.3522,39.791
83.9394,40.475
85.5778,39.344
87.165,39.076
88.7522,39.383
90.3906,39.114
91.9778,39.107
93.565,38.934
95.1522,38.931
96.7394,38.844
98.3778,39.52
99.965,39.119
101.5522,39.593
103.1394,38.934
104.7778,39.369
106.365,38.846
107.9522,39.215
109.5906,38.547
111.1778,39.166
112.765,38.625
114.3522,38.604
115.9394,38.634
117.5266,38.827
119.165,38.369
120.7522,38.506
