time,raw_data
1.3538,53.421
2.685,53.28
4.1186,53.607
5.7058,53.531
7.293,53.124
8.8802,53.839
10.5186,52.939
12.1058,53.046
13.693,53.688
15.2802,53.301
16.9186,54.163
18.5058,52.905
20.093,53.141
21.7314,53.669
23.3186,54.814
24.9058,56.723
26.493,58.168
28.0802,59.237
29.7186,59.525
31.3058,60.315
32.893,60.295
34.4802,61.361
36.1186,62.414
37.7058,61.357
39.293,62.899
40.8802,61.428
42.5186,61.349
44.1058,61.458
45.693,60.49
47.3314,60.478
48.9186,61.192
50.5058,60.785
52.093,60.512
53.7314,61.123
55.3186,60.264
56.9058,59.481
58.493,58.877
60.1314,60.037
61.7186,59.407
63.3058,60.118
64.893,59.596
66.5314,59.377
68.1186,59.312
69.7058,58.743
71.293,59.744
72.8802,59.551
74.5186,57.952
76.1058,58.536
77.693,59.326
79.3314,58.424
80.9186,58.263
82.5058,57.223
84.093,58.092
85.7314,58.084
87.3186,58.261
88.957,57.026
90.493,58.308
92.1314,57.74
93.7186,56.712
95.3058,57.375
96.893,57.694
98.5314,56.642
100.1186,58.252
101.7058,57.616
103.293,57.15
104.9314,57.433
106.5186,57.423
108.1058,57.061
109.7442,57.684
111.3314,57.224
112.9186,57.966
114.5058,56.046
116.093,57.147
117.7314,58.161
119.3186,57.231
120.9058,56.13
