time,raw_data
1.4708,47.914
2.8532,47.439
4.2356,48.793
5.874,48.148
7.4612,47.607
9.0484,49.356
10.6356,47.867
12.2228,48.09
13.8612,48.59
15.4484,48.084
17.0356,48.474
18.674,48.014
20.2612,48.595
21.8996,49.0
23.4356,50.459
25.074,51.952
26.6612,52.843
28.2484,53.947
29.8356,52.969
31.474,54.486
33.0612,55.863
34.6484,55.007
36.2356,55.321
37.874,56.65
39.4612,56.025
41.0484,55.843
42.6868,56.862
44.274,57.576
45.8612,56.0
47.4484,57.891
49.0356,56.925
50.674,58.257
52.2612,58.584
53.8996,58.973
55.4356,59.069
57.074,59.013
58.6612,59.42
60.2484,59.948
61.8356,60.244
63.474,60.623
65.0612,60.915
66.6484,60.564
68.2356,59.8
69.874,61.494
71.4612,60.334
73.0484,61.41
74.6356,62.204
76.274,60.384
77.8612,61.104
79.4484,61.641
81.0868,61.868
82.674,61.817
84.2612,61.544
85.8484,61.514
87.4356,62.617
89.074,62.109
90.6612,62.843
92.2484,62.815
93.8868,62.389
95.474,61.262
97.0612,61.977
98.6484,62.787
100.2868,62.119
101.874,62.684
103.4612,61.417
105.0484,61.698
106.6868,62.884
108.274,63.263
109.8612,62.579
111.4996,62.306
113.0868,62.456
114.674,61.706
116.2612,62.777
117.8484,63.267
119.4868,61.43
121.074,61.522
