time,raw_data
1.6404,53.556
2.9716,53.371
4.4052,54.162
5.9924,54.247
7.5796,53.649
9.1668,52.735
10.8052,53.476
12.3924,54.82
13.9796,53.582
15.5668,53.098
17.2052,52.888
18.7924,52.944
20.3796,54.216
21.9668,54.342
23.6052,55.345
25.1924,57.855
26.7796,58.806
28.418,59.395
30.0052,61.863
31.5924,61.876
33.1796,61.451
34.818,63.129
36.4052,63.174
37.9924,63.146
39.5796,63.785
41.218,62.787
42.8052,63.159
44.3924,63.103
45.9796,62.956
47.618,62.397
49.2052,61.741
50.7924,61.425
52.4308,61.488
53.9668,60.47
55.6052,60.799
57.1924,61.554
58.7796,58.438
60.418,59.758
62.0052,59.31
63.5924,60.167
65.2308,59.19
66.818,59.517
68.4052,59.695
69.9924,59.467
71.5796,59.046
73.218,59.348
74.8052,59.262
76.3924,57.325
77.9796,58.55
79.618,58.039
81.2052,57.668
82.7924,57.598
84.4308,57.938
86.018,57.414
87.6052,58.514
89.1924,57.618
90.8308,57.414
92.418,57.125
94.0052,57.858
95.5924,56.937
97.2308,56.691
98.818,57.617
100.4052,57.194
101.9924,56.85
103.6308,56.92
105.218,56.488
106.8052,57.646
108.3924,56.131
110.0308,57.844
111.618,56.402
113.2052,56.862
114.7924,56.335
116.4308,57.465
118.018,55.542
119.6052,57.664
121.2436,56.024
