time,raw_data
1.8118,53.712
3.143,53.458
4.5254,53.925
6.1638,52.741
7.751,53.716
9.3382,53.206
10.9766,53.44
12.5638,52.093
14.151,53.317
15.7382,53.477
17.3766,54.543
18.9638,54.031
20.551,53.765
22.1894,53.483
23.7766,56.52
25.3638,56.573
26.951,58.405
28.5894,60.253
30.1766,59.944
31.7638,60.756
33.351,61.142
34.9894,62.243
36.5766,61.541
38.1638,62.525
39.751,62.004
41.3382,61.539
42.9766,61.625
44.5638,60.967
46.151,61.876
47.7382,61.617
49.3254,60.766
50.9638,60.625
52.6022,62.276
54.1382,60.877
55.7766,60.067
57.3638,61.248
58.951,60.17
60.5382,60.146
62.1766,61.03
63.7638,59.438
65.351,60.496
66.9894,59.522
68.5766,60.067
70.1638,59.917
71.751,59.613
73.3894,58.759
74.9766,59.201
76.5638,59.091
78.151,60.478
79.7894,58.535
81.3766,59.364
82.9638,59.075
84.551,58.082
86.1382,58.888
87.7766,57.815
89.3638,57.02
91.0022,58.181
92.5382,57.379
94.1766,57.326
95.7638,58.07
97.351,57.108
98.9382,56.831
100.5766,58.392
102.1638,57.106
103.8022,57.3
105.3894,56.797
106.9766,58.372
108.5638,57.396
110.151,57.667
111.7894,57.478
113.3766,56.733
114.9638,56.872
116.551,56.918
118.1894,56.726
119.7766,57.223
121.3638,56.871
